,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
127,F1,20/11/16,Guingamp,Bordeaux,1,9.75,4.166666667,6,8,3,13.08333333,1.5,0.25,1.416666667,10.16666667,3.833333333,5,4,3,9,1.25,1.083333333,1.25,14790,22352,37142
128,F1,20/11/16,Marseille,Caen,2,10.41666667,3.5,3,9,4,14.16666667,1.5,0.083333333,1,11.5,3.5,4,1,7,10.83333333,1.5,0,0.833333333,39898,19992,59890
129,F1,20/11/16,St Etienne,Nice,0,11.16666667,3.083333333,4,9,2,13.83333333,1.416666667,0.166666667,1.166666667,11.66666667,5.083333333,9,2,1,11.5,1.5,0.083333333,2,27227,22293,49520
130,F1,25/11/16,Rennes,Toulouse,2,10.92307692,3.230769231,6,8,4,11,1.692307692,0,1.076923077,9.846153846,3.076923077,5,4,4,15.30769231,2.692307692,0,1.307692308,22689,19819,42508
131,F1,26/11/16,Bordeaux,Dijon,2,10,3.769230769,5,9,3,9.538461538,1.230769231,0.153846154,1.230769231,10.15384615,4,3,5,5,12,1.615384615,2,1.230769231,24217,19831,44048
132,F1,26/11/16,Caen,Guingamp,1,10.84615385,3.230769231,4,7,8,11.23076923,1.461538462,0,0.769230769,10.15384615,4.153846154,6,4,3,13.07692308,1.538461538,3,1.384615385,15786,19416,35202
133,F1,26/11/16,Metz,Lorient,1,9.076923077,3,5,8,6,14.61538462,2.384615385,0.153846154,1,12.15384615,3.230769231,2,1,10,12.53846154,1.846153846,2.153846154,0.692307692,16196,19914,36110
134,F1,26/11/16,Monaco,Marseille,2,12.53846154,5.538461538,9,8,2,13.30769231,1.615384615,0.076923077,3,10.69230769,3.307692308,4,5,4,14.46153846,1.538461538,1,1,9420,25215,34635
135,F1,26/11/16,Montpellier,Nancy,1,11.46153846,3.846153846,3,9,4,12.53846154,0.923076923,0.153846154,1.538461538,9.769230769,2.230769231,3,3,7,15.15384615,2.153846154,0,0.615384615,12356,18961,31317
136,F1,26/11/16,Nantes,Lille,1,12.76923077,3.923076923,3,9,7,14.30769231,2.307692308,0,0.692307692,11.61538462,3.153846154,3,1,9,14.69230769,1.692307692,1.076923077,0.769230769,23152,18478,41630
137,F1,27/11/16,Angers,St Etienne,0,12.61538462,4.230769231,5,9,5,11.92307692,1.461538462,0.230769231,0.923076923,10.92307692,2.923076923,4,6,3,13.69230769,1.461538462,2,1.076923077,11954,23040,34994
138,F1,27/11/16,Lyon,Paris SG,0,15.15384615,5.615384615,7,7,5,13.46153846,1.923076923,0.230769231,1.615384615,14.07692308,5,9,2,2,10.07692308,1.153846154,1,2,38203,26366,64569
139,F1,27/11/16,Nice,Bastia,1,11.92307692,5.076923077,10,7,1,11.30769231,1.461538462,0.076923077,1.923076923,10.76923077,4.153846154,3,3,7,13.69230769,2.461538462,2.076923077,0.769230769,22949,20847,43796
140,F1,29/11/16,Dijon,Monaco,1,10.07142857,4.142857143,3,10,6,12.14285714,1.642857143,0.142857143,1.285714286,12.71428571,5.785714286,10,2,2,12.71428571,1.571428571,1,3.071428571,10128,24370,34498
141,F1,29/11/16,Lille,Caen,2,11.42857143,3.142857143,3,7,9,14.42857143,1.714285714,0.142857143,0.714285714,11.35714286,3.285714286,4,2,8,11.21428571,1.357142857,0,0.785714286,29487,19992,49479
142,F1,29/11/16,Lorient,Rennes,2,12,3.428571429,2,8,10,12.92857143,1.857142857,0.285714286,0.857142857,10.92857143,3.214285714,7,3,4,11.21428571,1.714285714,0,1.071428571,11832,19531,31363
